participant,session_info,session_type,session_number,X Disp_mean,X Disp_std,X Disp_min,X Disp_max,Y Disp_mean,Y Disp_std,Y Disp_min,Y Disp_max,X Abs_mean,X Abs_std,X Abs_min,X Abs_max,Y Abs_mean,Y Abs_std,Y Abs_min,Y Abs_max,"Session experience (1-Low, 5-High).Stress level_y","Session experience (1-Low, 5-High).Attention_y","Session experience (1-Low, 5-High).Robot movement predictability_y","Session experience (1-Low, 5-High).Excitement_y",What caused stress for you?_y,How mentally demanding was the task?_y,How hurried or rushed was the pace of the task?_y,How hard did you have to work to accomplish your level of performance?_y,"How insecure, discouraged, irritated, stressed and annoyed were you?_y","How successful were you in accomplishing what you needed to do? (1-Failure, 20-Perfect)_y"
e22,baseline,baseline,0,-4.071530796992728,3.380488262295701,-12.007555961608888,3.2293081283569336,7.76142535349315,5.452462771677268,-7.145500183105469,17.267189025878963,97.73117035502669,9.308959499207198,62.04620361328125,115.48971176147438,96.56356995075816,20.76811101105626,67.72819519042935,186.9913101196288,,,,,,,,,,
e22,session1,session,1,48.486416798755215,6.257482817261358,27.469539642333984,56.46364688873293,-106.16081668742032,10.43318553943555,-129.19879913330078,-73.17962646484375,4133.971909399312,379.52749984189313,2963.341112136841,4883.475379943848,1758.6066052105637,171.15340431180277,1337.5728225708008,2177.21019744873,,,,,,,,,,
e22,session2,session,2,22.541560069287673,9.97374366809351,5.250005722045898,50.86179256439212,-24.24859334235411,13.462901654650972,-52.37731933593744,11.36249542236328,2662.1624735708515,311.21331958869456,1740.26704788208,3189.440031051636,1757.350512109541,198.20557255386754,1091.3122177124023,2112.0873641967783,,,,,,,,,,
e22,session3,session,3,-2.816072238539053,8.483404858643176,-28.1544828414917,8.754386901855497,105.00085359836721,12.660568019967853,71.63431167602539,126.02291107177734,2284.7676497922284,258.47644214521296,1490.9591102600098,2775.1174879074097,1591.1170001010016,177.22782964187968,1052.8965377807613,1931.222915649414,,,,,,,,,,
e22,session4,session,4,-28.178570859103022,4.192824926571097,-43.195581436157255,-22.2213077545166,-4.920195056803555,3.398390480387188,-12.689285278320312,3.571128845214844,2583.908646745163,366.1677599097604,1439.062442779541,3202.10844039917,1510.8921313984124,123.35735564747232,1118.3526229858398,1791.7601394653327,,,,,,,,,,
e22,session5,session,5,-12.889913844264202,6.819572186000019,-28.641228675842285,5.8454132080078125,-64.54412739645986,12.18054954371403,-83.16387176513672,-15.43796539306635,3861.582411821916,408.87738517927954,2425.345058441162,4614.405913352966,1833.660708231906,137.44830826818892,1454.2567825317385,2181.327781677246,,,,,,,,,,
e22,session6,session,6,-15.916622313495463,1.9166365268902925,-21.24505519866944,-10.524587631225586,34.50425594920394,8.071778603375618,7.7715301513671875,51.77867889404297,2444.7312748581794,275.91079526175395,1711.5834331512451,3119.472527503968,2443.604465747977,409.895720188584,1133.8477706909175,3068.583793640137,,,,,,,,,,
e22,session7,session,7,-23.08341255746626,7.57494493599059,-35.319671630859375,-0.4982757568359091,-52.216950260944444,9.72985598015694,-75.95268249511713,-21.46434783935547,2891.2352610631965,463.17316987689725,1300.1223421096806,3696.0826778411865,2178.2442662705935,161.9438455180949,1669.8110580444336,2541.382064819336,,,,,,,,,,
e22,session8,session,8,54.183792030462165,9.842096134441226,41.49052619934079,87.7695894241333,-56.95293378630443,16.879470527530962,-94.51107025146484,-18.16658020019537,2905.5675204528425,328.8221198940672,1864.7731590271,3487.651963233948,2318.4440122787923,267.1995388249784,1554.543876647949,2881.2257385253906,,,,,,,,,,
e23,baseline,baseline,0,-66.1806008855668,11.729861012160226,-94.99677658081056,-39.65224742889404,-11.055938329656753,18.81913673117985,-49.081993103027344,34.44023132324219,759.2874471762191,111.98171868425658,347.053964138031,957.5412619113922,657.0297489006649,59.74529425489828,463.684196472168,812.3854827880859,,,,,,,,,,
e23,session1,session,1,92.5870445981684,9.145508646249807,59.48321342468262,107.03932285308838,-4.678955118027691,12.10878854603417,-33.20465087890625,21.75569534301757,3446.7478074289265,521.1291392516376,2152.783269882202,4706.47873878479,1958.4445948979844,234.80841036716103,1452.6588821411133,2649.678077697754,1.0,3.0,5.0,3.0,lack of hygiene;The sound of the robot(s),4,5,5,5,20.0
e23,session2,session,2,-8.827706720040933,3.837519311697472,-13.404936790466309,3.1411027908325195,-32.83505882678172,7.560901813508243,-55.85716247558594,-18.6269760131836,2664.0712171518653,472.0897762354909,1384.5892667770386,3816.078958511353,2066.3377161704348,555.3938309603748,1018.321418762207,3368.12894821167,1.0,4.0,5.0,3.0,The sound of the robot(s),3,5,2,5,20.0
e23,session3,session,3,-7.857310941528576,12.940623615187365,-41.48652076721192,22.22768783569336,43.42103850392617,17.347226331602776,-3.2597732543945312,73.98048400878906,2068.9956978374944,367.4063630247742,1120.0631761550903,2967.3680877685547,1724.0851977280493,270.2344013825536,1204.706802368164,2496.790199279785,2.0,1.0,2.0,1.0,The sound of the robot(s);Predictability of robot(s),6,1,1,6,20.0
e23,session4,session,4,0.09856125300898212,10.897615528166844,-25.89777946472168,27.482728958129883,-30.240092496991657,16.095608618517783,-79.30961608886719,-7.247962951660156,5233.669604995759,755.8745483463581,3588.9685249328613,7113.302478790283,2294.2433667681707,355.7649957753075,1552.0606231689453,3333.282623291016,3.0,5.0,5.0,4.0,The amount of blocks,4,8,7,1,20.0
e23,session5,session,5,-20.858522798226968,12.525157147165304,-62.57715225219727,3.5523605346679688,29.068537516573983,10.903037127663378,-0.2980613708496094,54.28516387939453,3036.5656036113596,450.4100615862093,1900.94069480896,4168.030385971069,1925.2383250471937,213.05673459812962,1478.1169891357422,2536.572456359864,1.0,1.0,5.0,1.0,Nothing caused stress,3,1,1,1,20.0
e23,session6,session,6,128.85089366505835,13.460476105580994,98.791823387146,161.01402282714844,85.10478314994269,24.416301654054784,4.131126403808594,111.99081420898438,4318.112868394812,720.0155211104969,2774.456119537353,6091.430912017822,2653.600264872467,587.5172304531741,1710.6893157958984,4020.381240844727,2.0,4.0,4.0,3.0,The amount of blocks,5,6,3,2,20.0
