participant,experiment,target,task_type,n_features,n_samples,accuracy_mean,accuracy_std,r2_mean,r2_std
e19,nose_cheeks,stress_annoyance,regression,18,873,,,-3.1506595912312725,1.5417961245465535
e19,all_expression,session_type,classification,597,873,0.2554410080183276,0.025459462509613815,,
e19,all_expression,stress_level,regression,597,873,,,-0.18262411347517746,0.258269498092959
e19,all_expression,attention,regression,597,873,,,-0.9102564102564105,1.2872969606216635
e19,all_expression,robot_predictability,regression,597,873,,,-0.12182278058769362,0.0997291378194172
e19,all_expression,mental_demand,regression,597,873,,,-0.1826241134751773,0.25826949809295885
e19,all_expression,rushed_pace,regression,597,873,,,-0.7050203370922924,0.5322912197067101
e19,all_expression,work_effort,regression,597,873,,,-1.129466762545732,1.0661558025031197
e19,all_expression,stress_annoyance,regression,597,873,,,-3.3850741639930977,1.7959947681537531
e19,mouth_only,session_type,classification,123,873,0.2050400916380298,0.017143905552228837,,
e19,mouth_only,stress_level,regression,123,873,,,-0.18262411347517746,0.258269498092959
e19,mouth_only,attention,regression,123,873,,,-0.9102564102564105,1.2872969606216635
e19,mouth_only,robot_predictability,regression,123,873,,,-0.11454923375932242,0.11364853748340807
e19,mouth_only,mental_demand,regression,123,873,,,-0.1826241134751773,0.25826949809295885
e19,mouth_only,rushed_pace,regression,123,873,,,-0.6538445916095724,0.5085879821032524
e19,mouth_only,work_effort,regression,123,873,,,-1.0595814549045417,0.8656120442672061
e19,mouth_only,stress_annoyance,regression,123,873,,,-3.198425102515529,1.152088920430153
e19,eyes_only,session_type,classification,372,873,0.24513172966781216,0.022505020279940998,,
e19,eyes_only,stress_level,regression,372,873,,,-0.18262411347517746,0.258269498092959
e19,eyes_only,attention,regression,372,873,,,-0.9102564102564105,1.2872969606216635
e19,eyes_only,robot_predictability,regression,372,873,,,-0.09939922497893001,0.07837987556603931
e19,eyes_only,mental_demand,regression,372,873,,,-0.1826241134751773,0.25826949809295885
e19,eyes_only,rushed_pace,regression,372,873,,,-0.7347889674354825,0.5525226815690071
e19,eyes_only,work_effort,regression,372,873,,,-1.1195520352279467,0.9901632351387949
e19,eyes_only,stress_annoyance,regression,372,873,,,-3.398491441322836,1.6230936957878952
e2,nose_cheeks,session_type,classification,18,954,0.3846960167714885,0.01547675373190086,,
e2,nose_cheeks,attention,regression,18,954,,,-11.386614964954461,15.375957584718574
